,Date,nzd_direction,nzd_strength,nzd_trend,tec_direction,tec_strength,tec_trend,lastday_direction,lastday_strength,lastday_trend,vix,weekday,a50_direction,a50_strength,a50_trend
356,2018-08-07,0,0,0,0,1,0,0,2,0,0,1,1,3,4
357,2018-08-08,0,0,0,0,0,0,1,3,4,0,2,-1,2,3
358,2018-08-09,0,1,0,0,0,0,-1,2,3,0,3,1,4,5
359,2018-08-10,-1,1,1,1,0,1,1,4,5,0,4,0,1,0
360,2018-08-13,1,2,3,0,0,0,0,1,0,0,0,-1,2,3
361,2018-08-14,0,0,0,0,1,0,-1,2,3,0,1,-1,1,2
362,2018-08-15,0,0,0,0,1,0,-1,1,2,0,2,-1,3,5
363,2018-08-16,0,0,0,-1,1,2,-1,3,5,0,3,1,2,3
364,2018-08-17,0,0,0,0,0,0,1,2,3,0,4,-1,3,3
365,2018-08-20,0,0,0,0,1,0,-1,3,3,0,0,0,1,0
366,2018-08-21,0,0,0,-1,1,1,0,1,0,0,1,1,2,5
367,2018-08-22,1,3,1,1,1,1,1,2,5,0,2,-1,1,1
368,2018-08-23,0,0,0,1,1,1,-1,1,1,0,3,-1,1,1
369,2018-08-24,1,1,2,0,1,0,-1,1,1,0,4,1,2,1
370,2018-08-27,0,0,0,1,1,2,1,2,1,0,0,1,2,3
371,2018-08-28,0,0,0,1,0,1,1,2,3,0,1,-1,1,1
372,2018-08-29,1,0,1,0,0,0,-1,1,1,0,2,0,0,0
373,2018-08-30,0,0,0,1,1,2,0,0,0,0,3,-1,1,2
374,2018-08-31,0,0,0,0,1,0,-1,1,2,0,4,1,1,2
375,2018-09-03,0,1,0,0,0,0,1,1,2,0,0,0,1,0
376,2018-09-04,0,0,0,0,0,0,0,1,0,0,1,1,2,1
377,2018-09-05,-1,1,1,0,0,0,1,2,1,0,2,-1,3,2
378,2018-09-06,0,0,0,-1,2,3,-1,3,2,0,3,0,2,0
379,2018-09-07,0,0,0,-1,2,4,0,2,0,0,4,1,2,1
380,2018-09-10,0,0,0,0,2,0,1,2,1,0,0,0,0,0
381,2018-09-11,0,0,0,-1,1,1,0,0,0,0,1,-1,1,1
382,2018-09-12,0,0,0,1,2,2,-1,1,1,0,2,0,1,0
383,2018-09-13,-1,1,1,-1,1,2,0,1,0,0,3,-1,2,3
384,2018-09-14,1,1,2,1,1,2,-1,2,3,0,4,0,1,0
385,2018-09-17,-1,0,1,-1,1,1,0,1,0,0,0,0,0,0
386,2018-09-18,-1,2,1,-1,1,2,0,0,0,0,1,1,3,3
387,2018-09-19,1,0,1,1,2,3,1,3,3,0,2,1,2,3
388,2018-09-20,1,5,4,0,1,0,1,2,3,0,3,-1,0,1
389,2018-09-21,0,0,0,1,1,1,-1,0,1,0,4,1,5,4
390,2018-09-24,0,0,0,0,1,0,1,5,4,0,0,0,0,0
391,2018-09-25,0,0,0,1,1,1,0,0,0,0,1,0,1,0
392,2018-09-26,0,1,0,0,0,0,0,1,0,0,2,1,3,5
393,2018-09-27,0,0,0,1,1,1,1,3,5,0,3,-1,1,3
394,2018-09-28,0,0,0,1,1,3,-1,1,3,0,4,1,1,2
395,2018-10-01,1,0,1,1,1,1,1,1,2,0,0,0,1,0
396,2018-10-02,0,0,0,0,1,0,0,1,0,0,1,-1,2,4
397,2018-10-03,0,0,0,1,1,1,-1,2,4,0,2,0,0,0
398,2018-10-04,0,0,0,0,0,0,0,0,0,0,3,-1,2,3
399,2018-10-05,0,0,0,-1,3,4,-1,2,3,0,4,0,0,0
400,2018-10-08,0,0,0,-1,3,3,0,0,0,0,0,-1,3,3
401,2018-10-09,0,0,0,-1,3,3,-1,3,3,1,1,1,1,3
402,2018-10-10,0,0,0,1,2,3,1,1,3,1,2,0,2,0
403,2018-10-11,0,1,0,-1,4,5,0,2,0,1,3,-1,3,2
404,2018-10-12,0,0,0,1,3,3,-1,3,2,2,4,1,3,3
405,2018-10-15,0,0,0,-1,2,1,1,3,3,2,0,-1,1,1
406,2018-10-16,-1,1,3,-1,2,1,-1,1,1,1,1,1,2,1
407,2018-10-17,0,0,0,1,3,4,1,2,1,1,2,-1,2,2
408,2018-10-18,-1,1,1,-1,2,1,-1,2,2,1,3,-1,3,4
409,2018-10-19,0,0,0,-1,4,4,-1,3,4,1,4,1,5,4
410,2018-10-22,0,0,0,-1,2,1,1,5,4,1,0,1,5,5
411,2018-10-23,1,0,1,0,1,0,1,5,5,1,1,-1,4,4
412,2018-10-24,0,0,0,0,4,0,-1,4,4,1,2,1,3,2
413,2018-10-25,0,0,0,-1,5,5,1,3,2,2,3,1,3,1
414,2018-10-26,1,1,1,1,4,2,1,3,1,2,4,-1,2,3
415,2018-10-29,0,0,0,1,4,4,-1,2,3,2,0,-1,5,5
416,2018-10-30,1,0,1,-1,5,5,-1,5,5,2,1,1,3,3
417,2018-10-31,0,0,0,-1,2,1,1,3,3,2,2,1,1,2
418,2018-11-01,0,0,0,1,3,4,1,1,2,1,3,1,1,1
419,2018-11-02,1,1,1,1,2,1,1,1,1,1,4,-1,3,1
420,2018-11-05,1,1,2,-1,3,5,-1,3,1,1,0,-1,1,1
421,2018-11-06,-1,1,1,-1,2,3,-1,1,1,1,1,-1,2,4
422,2018-11-07,1,0,1,1,2,3,-1,2,4,1,2,0,2,0
423,2018-11-08,0,0,0,1,3,5,0,2,0,1,3,-1,1,1
424,2018-11-09,-1,1,1,0,0,0,-1,1,1,1,4,-1,2,4
425,2018-11-12,0,0,0,-1,2,3,-1,2,4,1,0,0,1,0
426,2018-11-13,0,0,0,-1,3,5,0,1,0,1,1,1,3,5
427,2018-11-14,0,0,0,0,2,0,1,3,5,1,2,-1,2,4
428,2018-11-15,0,0,0,-1,3,4,-1,2,4,1,3,0,1,0
429,2018-11-16,0,0,0,1,4,4,0,1,0,1,4,0,2,0
430,2018-12-03,1,1,1,-1,5,5,0,2,0,1,0,-1,1,1
431,2018-12-04,0,0,0,-1,5,5,-1,1,1,1,1,0,0,0
432,2018-12-05,1,0,1,-1,5,5,0,0,0,1,2,1,1,3
433,2018-12-06,0,0,0,-1,5,5,1,1,3,1,3,-1,0,1
434,2018-12-07,0,0,0,-1,5,5,-1,0,1,2,4,0,1,0
435,2018-12-10,0,0,0,-1,5,5,0,1,0,2,0,0,1,0
436,2018-12-11,1,1,2,-1,5,5,0,1,0,2,1,0,0,0
437,2018-12-12,1,0,1,-1,5,5,0,0,0,2,2,-1,0,1
438,2018-12-13,1,0,1,-1,5,5,-1,0,1,1,3,1,2,4
439,2018-12-14,0,0,0,-1,5,5,1,2,4,1,4,-1,1,1
440,2018-12-17,-1,2,2,-1,5,5,-1,1,1,1,0,0,0,0
441,2018-12-18,0,0,0,-1,4,2,0,0,0,2,1,0,2,0
442,2018-12-19,0,0,0,0,2,0,0,2,0,2,2,-1,2,1
443,2018-12-20,0,0,0,0,5,0,-1,2,1,2,3,-1,2,3
444,2018-12-21,0,0,0,-1,4,2,-1,2,3,2,4,-1,2,4
445,2018-12-24,0,0,0,-1,5,5,-1,2,4,3,0,1,1,1
446,2018-12-26,0,0,0,-1,4,4,1,1,1,3,2,-1,1,1
447,2018-12-27,1,1,1,1,5,5,-1,1,1,3,3,-1,1,1
448,2018-12-28,0,0,0,-1,5,2,-1,1,1,3,4,1,1,2
449,2018-12-31,0,0,0,-1,3,1,1,1,2,3,0,0,0,0
