,Date,US30_des,lastday_des,vix,weekday,A300_des
108,2013-06-26,0xb1,0xb2,2,2,-0xa2
109,2013-06-27,0xb2,-0xa2,1,3,-0xb1
110,2013-06-28,0xb1,-0xb1,1,4,0xb3
111,2013-07-01,-0xb2,0xb3,1,0,0xb3
112,2013-07-02,0xb1,0xb3,1,1,0xb1
113,2013-07-03,-0xb0,0xb1,1,2,-0xb0
114,2013-07-04,0xb1,-0xb0,1,3,0xb3
115,2013-07-05,0xb1,0xb3,1,4,-0xa1
116,2013-07-08,0xb2,-0xa1,1,0,-0xb3
117,2013-07-09,0xb1,-0xb3,1,1,0xa1
118,2013-07-10,0xb1,0xa1,1,2,0xb3
119,2013-07-11,-0xa0,0xb3,1,3,0xb3
120,2013-07-12,0xb3,0xb3,0,4,-0xb3
121,2013-07-15,0xa0,-0xb3,0,0,0xb2
122,2013-07-16,0xb0,0xb2,0,1,0xb2
123,2013-07-17,-0xb0,0xb2,1,2,-0xb3
124,2013-07-18,0xb0,-0xb3,0,3,-0xb3
125,2013-07-19,0xb1,-0xb3,0,4,-0xb3
126,2013-07-22,0xb0,-0xb3,0,0,0xb3
127,2013-07-23,0xb0,0xb3,0,1,0xb3
128,2013-07-24,0xb0,0xb3,0,2,-0xa2
129,2013-07-25,-0xb0,-0xa2,0,3,-0xb2
130,2013-07-26,0xa0,-0xb2,0,4,-0xa1
131,2013-07-29,0xa1,-0xa1,0,0,-0xb3
132,2013-07-30,-0xb0,-0xb3,0,1,0xb0
133,2013-07-31,-0xa0,0xb0,0,2,-0xb2
134,2013-08-01,-0xa0,-0xb2,0,3,0xb3
135,2013-08-02,0xb2,0xb3,0,4,-0xb2
136,2013-08-05,0xa0,-0xb2,0,0,0xb3
137,2013-08-06,-0xb0,0xb3,0,1,0xb2
138,2013-08-07,-0xb1,0xb2,0,2,-0xb1
139,2013-08-08,-0xb0,-0xb1,0,3,-0xa2
140,2013-08-09,0xa0,-0xa2,0,4,-0xa2
141,2013-08-12,-0xb1,-0xa2,0,0,0xb3
142,2013-08-13,0xa0,0xb3,0,1,0xb0
143,2013-08-14,0xa1,0xb0,0,2,-0xb1
144,2013-08-15,-0xb2,-0xb1,0,3,-0xb3
145,2013-08-16,-0xb3,-0xb3,1,4,-0xb1
146,2013-08-19,-0xb0,-0xb1,1,0,0xb3
147,2013-08-20,-0xb1,0xb3,1,1,-0xb1
148,2013-08-21,-0xa0,-0xb1,1,2,-0xb1
149,2013-08-22,-0xb1,-0xb1,1,3,0xa2
150,2013-08-23,0xb1,0xa2,1,4,-0xb3
151,2013-08-26,0xa0,-0xb3,1,0,0xb3
152,2013-08-27,-0xb1,0xb3,1,1,0xb0
153,2013-08-28,-0xb3,0xb0,1,2,0xa2
154,2013-08-29,0xb1,0xa2,1,3,-0xb2
