Date,股票代码,名称,Close,High,Low,Open,Volume
2019-05-20,'399300,沪深300,3617.7924,3644.5,3583.8324,3635.7357,10896347700
2019-05-17,'399300,沪深300,3648.7609,3745.3555,3637.5826,3744.8751,12845324500
2019-05-16,'399300,沪深300,3743.9635,3745.1405,3707.9032,3720.039,11625827400
2019-05-15,'399300,沪深300,3727.0923,3741.0406,3674.9931,3674.9931,11016176900
2019-05-14,'399300,沪深300,3645.1503,3683.2619,3630.4388,3630.4388,10231346000
2019-05-13,'399300,沪深300,3668.7255,3702.9012,3658.0004,3675.7597,10339186000
2019-05-10,'399300,沪深300,3730.4513,3732.9238,3589.2906,3643.0557,14800384700
2019-05-09,'399300,沪深300,3599.7001,3656.8966,3584.8227,3637.346,10103739400
2019-05-08,'399300,沪深300,3667.4574,3722.9325,3642.4981,3648.5489,11286735500
2019-05-07,'399300,沪深300,3720.6684,3738.1767,3671.8341,3702.2656,13284765400
2019-05-06,'399300,沪深300,3684.6168,3791.6119,3647.1405,3775.0765,19747288200
2019-04-30,'399300,沪深300,3913.211,3923.1082,3885.147,3887.1799,11623337600
2019-04-29,'399300,沪深300,3900.3339,3953.2288,3875.452,3896.5824,15387092700
2019-04-26,'399300,沪深300,3889.2748,3943.8331,3887.2525,3921.8909,14200806800
2019-04-25,'399300,沪深300,3941.816,4022.5631,3938.3251,4013.6027,15972207100
2019-04-24,'399300,沪深300,4030.0887,4044.3375,3967.8058,4033.6292,14549869500
2019-04-23,'399300,沪深300,4019.0053,4061.0858,4005.2832,4021.6277,15561165000
2019-04-22,'399300,沪深300,4025.6109,4126.0907,4015.4748,4125.9717,18935374500
2019-04-19,'399300,沪深300,4120.6078,4120.6356,4046.2042,4076.2953,15079491000
2019-04-18,'399300,沪深300,4072.0753,4094.0533,4056.2356,4085.1148,14656212300
2019-04-17,'399300,沪深300,4087.2398,4106.6158,4057.5032,4080.7172,18036711700
2019-04-16,'399300,沪深300,4085.7891,4085.7891,3943.4879,3958.0963,20204196600
2019-04-15,'399300,沪深300,3975.5244,4085.3882,3974.2264,4056.4919,18264557100
2019-04-12,'399300,沪深300,3988.6168,4006.9335,3961.464,3986.7822,13586211800
2019-04-11,'399300,沪深300,3997.5778,4097.1249,3990.239,4083.4618,16904964100
2019-04-10,'399300,沪深300,4085.847,4115.378,4035.4741,4062.4425,19468761300
2019-04-09,'399300,沪深300,4075.4301,4084.243,4038.2825,4063.8139,18295680800
2019-04-08,'399300,沪深300,4057.2286,4122.6034,4017.4887,4097.1027,26750557600
2019-04-04,'399300,沪深300,4062.2309,4072.1138,4021.7055,4039.7415,26041093900
2019-04-03,'399300,沪深300,4022.1566,4026.4972,3939.7837,3947.8697,23191736800
2019-04-02,'399300,沪深300,3971.2852,3988.0975,3956.5059,3986.3443,22600034100
2019-04-01,'399300,沪深300,3973.928,3982.9091,3901.1698,3901.1698,27138270400
2019-03-29,'399300,沪深300,3872.3412,3876.379,3739.7739,3739.7739,21563910300
2019-03-28,'399300,沪深300,3728.3953,3755.716,3710.0814,3731.0612,13327212900
2019-03-27,'399300,沪深300,3743.3878,3750.2642,3703.4508,3724.4058,13875845400
2019-03-26,'399300,沪深300,3700.4388,3770.843,3687.5472,3766.5287,17304657900
2019-03-25,'399300,沪深300,3742.8252,3807.1793,3741.6062,3776.4426,19858632900
2019-03-22,'399300,沪深300,3833.8013,3845.5808,3786.5917,3838.1255,17135699300
2019-03-21,'399300,沪深300,3836.8913,3864.0696,3823.4661,3840.2783,19631031000
2019-03-20,'399300,沪深300,3835.4397,3855.1465,3790.5119,3825.3356,17563209000
2019-03-19,'399300,沪深300,3833.9626,3868.335,3815.2187,3856.5885,18172711000
2019-03-18,'399300,沪深300,3851.7479,3851.7479,3733.6781,3753.6436,21692806000
2019-03-15,'399300,沪深300,3745.005,3782.2364,3713.936,3713.936,17517454400
2019-03-14,'399300,沪深300,3698.4858,3747.819,3673.8509,3710.2934,19081723700
2019-03-13,'399300,沪深300,3724.1941,3763.0926,3708.8145,3758.713,23368224800
2019-03-12,'399300,沪深300,3755.3519,3804.72,3723.6785,3758.3151,27492638200
2019-03-11,'399300,沪深300,3729.9546,3731.9091,3650.8125,3663.9772,23091286500
2019-03-08,'399300,沪深300,3657.579,3774.5431,3656.1917,3721.4016,31799007700
2019-03-07,'399300,沪深300,3808.8497,3845.182,3778.8004,3841.1456,32984654800
2019-03-06,'399300,沪深300,3848.0903,3855.1556,3787.5225,3822.8588,31807737100
2019-03-05,'399300,沪深300,3816.0132,3816.1621,3770.7858,3785.3762,23085316600
2019-03-04,'399300,沪深300,3794.104,3886.5797,3764.7764,3783.0367,32349012600
2019-03-01,'399300,沪深300,3749.7143,3749.7143,3668.7653,3699.2157,20471100400
2019-02-28,'399300,沪深300,3669.3703,3695.4646,3650.0537,3675.2642,18481022000
2019-02-27,'399300,沪深300,3678.3921,3737.6317,3638.3334,3682.8116,28623600700
2019-02-26,'399300,沪深300,3684.6935,3762.1128,3679.2705,3734.7059,35803869800
2019-02-25,'399300,沪深300,3729.4831,3729.4831,3574.6885,3575.8528,34255712200
2019-02-22,'399300,沪深300,3520.1182,3520.1182,3417.9784,3439.3781,18723797400
2019-02-21,'399300,沪深300,3442.7056,3500.2519,3431.631,3450.1411,18014328700
2019-02-20,'399300,沪深300,3451.9273,3463.7735,3421.505,3449.9321,14739031100
2019-02-19,'399300,沪深300,3439.6078,3480.7938,3419.0731,3454.7216,17908378500
2019-02-18,'399300,沪深300,3445.7448,3445.7448,3366.423,3366.423,18288608900
2019-02-15,'399300,沪深300,3338.7047,3395.0294,3335.8705,3391.242,14366860300
2019-02-14,'399300,沪深300,3402.1403,3415.3994,3381.9821,3392.8547,15112729000
2019-02-13,'399300,沪深300,3397.0276,3405.5773,3329.1436,3337.7794,16382833200
2019-02-12,'399300,沪深300,3330.3353,3335.3606,3298.6337,3306.3523,12223246200
2019-02-11,'399300,沪深300,3306.4725,3307.0638,3239.8079,3239.8079,9881843400
2019-02-01,'399300,沪深300,3247.3971,3247.4956,3207.7168,3225.7335,8201964100
2019-01-31,'399300,沪深300,3201.6331,3216.0673,3178.0105,3182.6987,8624783900
2019-01-30,'399300,沪深300,3168.4829,3202.896,3167.8934,3181.6551,6374651700
2019-01-29,'399300,沪深300,3193.9698,3200.9898,3148.2345,3177.261,7765833400
2019-01-28,'399300,沪深300,3183.7777,3228.8678,3174.7243,3203.1189,8262243100
2019-01-25,'399300,沪深300,3184.4696,3203.1747,3164.4082,3165.1814,8396772900
2019-01-24,'399300,沪深300,3158.7817,3165.6296,3125.3008,3146.6046,7293463600
2019-01-23,'399300,沪深300,3141.0532,3157.6269,3131.8673,3136.096,5987047800
2019-01-22,'399300,沪深300,3143.3171,3181.9494,3135.3378,3181.9494,7299052800
2019-01-21,'399300,沪深300,3185.6364,3199.2134,3170.8773,3170.8773,9391502200
2019-01-18,'399300,沪深300,3168.1739,3171.6864,3120.3458,3124.5025,10396383400
2019-01-17,'399300,沪深300,3111.4168,3141.7099,3110.0608,3132.6285,8017487100
2019-01-16,'399300,沪深300,3128.6517,3135.0117,3117.2926,3126.1347,8021434100
2019-01-15,'399300,沪深300,3127.9904,3129.3708,3064.6705,3071.5185,8877296200
2019-01-14,'399300,沪深300,3067.7845,3097.4064,3064.3827,3092.4984,6612170200
2019-01-11,'399300,沪深300,3094.7782,3102.8333,3071.0264,3082.2615,7178642400
2019-01-10,'399300,沪深300,3072.6864,3092.5411,3062.5721,3077.4817,8527175600
2019-01-09,'399300,沪深300,3078.4759,3117.9614,3062.8474,3065.2307,10736435000
2019-01-08,'399300,沪深300,3047.7035,3055.51,3038.5339,3049.8747,8617058500
2019-01-07,'399300,沪深300,3054.303,3061.749,3035.9123,3055.1535,10116435900
2019-01-04,'399300,沪深300,3035.8741,3036.8147,2935.8295,2940.1916,10331897200
2019-01-03,'399300,沪深300,2964.8421,3000.4413,2953.2548,2963.0186,7086710300
2019-01-02,'399300,沪深300,2969.5353,3018.7759,2958.4883,3017.0674,6866302100
2018-12-28,'399300,沪深300,3010.6536,3024.3525,2984.8177,2994.795,7105377900
2018-12-27,'399300,沪深300,2990.5057,3047.2348,2990.5057,3042.9491,8054178500
2018-12-26,'399300,沪深300,3002.0327,3029.0608,2996.4829,3012.869,5564703200
2018-12-25,'399300,沪深300,3017.2815,3030.1418,2964.875,3006.8787,7868942500
2018-12-24,'399300,沪深300,3038.1981,3040.3524,3007.3292,3015.4974,5729961500
2018-12-21,'399300,沪深300,3029.3951,3057.4007,3007.6096,3055.3258,7675810100
2018-12-20,'399300,沪深300,3067.4169,3097.7202,3044.2929,3083.5441,6974946300
2018-12-19,'399300,沪深300,3091.1255,3137.0099,3086.7579,3133.7416,5552229900
2018-12-18,'399300,沪深300,3128.4265,3165.0018,3114.4684,3139.9493,6382031900
2018-12-17,'399300,沪深300,3161.1966,3167.5125,3134.3653,3158.2844,6649700700
2018-12-14,'399300,沪深300,3165.9109,3210.7221,3165.9109,3207.3481,8430125000
2018-12-13,'399300,沪深300,3219.6924,3234.0817,3169.4234,3178.891,9044275500
2018-12-12,'399300,沪深300,3170.6092,3182.2107,3160.2784,3181.566,5330991400
2018-12-11,'399300,沪深300,3159.8158,3161.9557,3143.6072,3148.2256,5322387700
2018-12-10,'399300,沪深300,3144.7631,3170.1523,3134.3845,3153.5228,6343727300
2018-12-07,'399300,沪深300,3181.5646,3193.8191,3176.7061,3187.4919,5336192400
2018-12-06,'399300,沪深300,3181.673,3223.5219,3179.8948,3218.113,7632877100
2018-12-05,'399300,沪深300,3252.0041,3266.9039,3219.9785,3224.2556,7615305200
2018-12-04,'399300,沪深300,3267.7095,3267.94,3243.6951,3256.2282,7941503900
2018-12-03,'399300,沪深300,3260.9502,3273.6397,3228.3611,3260.6862,12148715700
2018-11-30,'399300,沪深300,3172.69,3175.154,3132.423,3136.1962,7092104400
2018-11-29,'399300,沪深300,3137.6542,3204.8565,3137.6542,3198.8259,8049846600
2018-11-28,'399300,沪深300,3178.9326,3179.4108,3126.6179,3137.7477,7488195500
2018-11-27,'399300,沪深300,3137.2413,3162.0121,3126.289,3152.7743,5540783200
2018-11-26,'399300,沪深300,3141.2434,3169.4418,3131.636,3148.6721,5937914000
2018-11-23,'399300,沪深300,3143.4752,3212.1952,3139.3857,3208.593,8463825500
2018-11-22,'399300,沪深300,3214.4273,3235.4524,3199.6981,3232.9731,6509829100
2018-11-21,'399300,沪深300,3226.4918,3230.2578,3185.2393,3187.1025,8411972600
2018-11-20,'399300,沪深300,3218.4076,3278.7845,3213.6833,3268.0768,10936115400
2018-11-19,'399300,沪深300,3294.6031,3294.6031,3251.0665,3258.7919,11595659500
2018-11-16,'399300,沪深300,3257.6735,3282.39,3223.7215,3242.879,12687683500
2018-11-15,'399300,沪深300,3242.3715,3242.3836,3198.7814,3201.2814,9855881000
2018-11-14,'399300,沪深300,3204.9427,3239.2448,3200.2285,3233.6409,11380865900
2018-11-13,'399300,沪深300,3237.3823,3254.7684,3161.0979,3164.9222,12649346400
2018-11-12,'399300,沪深300,3205.1407,3206.5127,3152.4399,3160.2465,8806239100
2018-11-09,'399300,沪深300,3167.4442,3193.3039,3166.3106,3193.3039,8428276200
2018-11-08,'399300,沪深300,3212.7737,3253.5735,3207.7084,3251.7281,7641454000
2018-11-07,'399300,沪深300,3221.9101,3270.5003,3218.4219,3243.8775,9161552800
2018-11-06,'399300,沪深300,3243.1504,3254.9778,3213.895,3254.9778,8386913800
2018-11-05,'399300,沪深300,3262.8351,3279.8781,3230.3632,3269.4695,10970668300
2018-11-02,'399300,沪深300,3290.2455,3290.2455,3222.4354,3258.6093,15346610400
2018-11-01,'399300,沪深300,3177.0338,3217.8034,3173.0992,3185.202,13265337900
2018-10-31,'399300,沪深300,3153.8234,3168.9187,3106.0279,3116.6582,11120745500
2018-10-30,'399300,沪深300,3110.2605,3146.6276,3050.7709,3061.93,11607010100
2018-10-29,'399300,沪深300,3076.8889,3158.8114,3062.5803,3157.4879,9183978900
2018-10-26,'399300,沪深300,3173.635,3218.1021,3151.9244,3204.2845,10129935400
2018-10-25,'399300,沪深300,3194.3084,3197.3212,3099.8887,3107.8402,10695181700
2018-10-24,'399300,沪深300,3188.2018,3245.3971,3164.293,3169.4571,11090974400
2018-10-23,'399300,沪深300,3183.4257,3276.0205,3163.5704,3273.1271,12101324100
2018-10-22,'399300,沪深300,3270.2732,3297.3803,3159.5614,3159.5614,14586204500
